Stamp,Invoice No.,Unit,Value
2017-07-01 10:30:00,1518,2,68.0
2017-07-01 10:45:00,3039,3,368.0
2017-07-01 11:00:00,4566,5,340.0
2017-07-01 11:15:00,6102,7,254.0
2017-07-01 11:30:00,7650,12,378.0
2017-07-01 11:45:00,4602,8,319.0
2017-07-01 12:00:00,6150,7,1089.0
2017-07-01 12:15:00,7710,9,442.0
2017-07-01 12:30:00,3091,5,155.0
2017-07-01 12:45:00,9297,10,436.0
2017-07-01 13:00:00,14013,21,1279.0
2017-07-01 13:15:00,10955,10,437.0
2017-07-01 13:30:00,14157,10,874.0
2017-07-01 13:45:00,11067,12,491.0
2017-07-01 14:00:00,7935,11,592.0
2017-07-01 14:15:00,12748,22,925.0
2017-07-01 14:30:00,6398,6,274.0
2017-07-01 14:45:00,11235,12,425.0
2017-07-01 15:00:00,24240,24,2154.2
2017-07-01 15:15:00,11396,11,1674.0
2017-07-01 15:30:00,11445,11,386.2
2017-07-01 15:45:00,13140,13,651.0
2017-07-01 16:00:00,13204,18,682.0
2017-07-01 16:15:00,13268,14,626.0
2017-07-01 16:30:00,6661,8,508.0
2017-07-01 16:45:00,10023,14,1195.0
2017-07-01 17:00:00,16785,24,1400.0
2017-07-01 17:15:00,11809,20,991.0
2017-07-01 17:30:00,8465,6,241.0
2017-07-01 17:45:00,18713,17,1168.4
2017-07-01 18:00:00,10263,8,418.0
2017-07-01 18:15:00,12019,13,888.0
2017-07-01 18:30:00,8615,5,362.0
2017-07-01 18:45:00,1726,2,42.0
2017-07-01 19:00:00,3455,8,1160.0
2017-07-01 19:15:00,0,0,0.0
2017-07-01 19:30:00,0,0,0.0
2017-07-01 19:45:00,0,0,0.0
2017-07-01 20:00:00,0,0,0.0
2017-07-01 20:15:00,0,0,0.0
2017-07-01 20:30:00,0,0,0.0
2017-07-01 20:45:00,0,0,0.0
2017-07-01 21:00:00,0,0,0.0
2017-07-01 21:15:00,0,0,0.0
2017-07-01 21:30:00,0,0,0.0
2017-07-01 21:45:00,0,0,0.0
2017-07-01 22:00:00,0,0,0.0
2017-07-01 22:15:00,0,0,0.0
2017-07-01 22:30:00,0,0,0.0
2017-07-01 22:45:00,0,0,0.0
2017-07-01 23:00:00,0,0,0.0
2017-07-01 23:15:00,0,0,0.0
2017-07-01 23:30:00,0,0,0.0
2017-07-01 23:45:00,0,0,0.0
2017-07-02 00:00:00,0,0,0.0
2017-07-02 00:15:00,0,0,0.0
2017-07-02 00:30:00,0,0,0.0
2017-07-02 00:45:00,0,0,0.0
2017-07-02 01:00:00,0,0,0.0
2017-07-02 01:15:00,0,0,0.0
2017-07-02 01:30:00,0,0,0.0
2017-07-02 01:45:00,0,0,0.0
2017-07-02 02:00:00,0,0,0.0
2017-07-02 02:15:00,0,0,0.0
2017-07-02 02:30:00,0,0,0.0
2017-07-02 02:45:00,0,0,0.0
2017-07-02 03:00:00,0,0,0.0
2017-07-02 03:15:00,0,0,0.0
2017-07-02 03:30:00,0,0,0.0
2017-07-02 03:45:00,0,0,0.0
2017-07-02 04:00:00,0,0,0.0
2017-07-02 04:15:00,0,0,0.0
2017-07-02 04:30:00,0,0,0.0
2017-07-02 04:45:00,0,0,0.0
2017-07-02 05:00:00,0,0,0.0
2017-07-02 05:15:00,0,0,0.0
2017-07-02 05:30:00,0,0,0.0
2017-07-02 05:45:00,0,0,0.0
2017-07-02 06:00:00,0,0,0.0
2017-07-02 06:15:00,0,0,0.0
2017-07-02 06:30:00,0,0,0.0
2017-07-02 06:45:00,0,0,0.0
2017-07-02 07:00:00,0,0,0.0
2017-07-02 07:15:00,0,0,0.0
2017-07-02 07:30:00,0,0,0.0
2017-07-02 07:45:00,0,0,0.0
2017-07-02 08:00:00,0,0,0.0
2017-07-02 08:15:00,0,0,0.0
2017-07-02 08:30:00,0,0,0.0
2017-07-02 08:45:00,0,0,0.0
2017-07-02 09:00:00,0,0,0.0
2017-07-02 09:15:00,0,0,0.0
2017-07-02 09:30:00,0,0,0.0
2017-07-02 09:45:00,0,0,0.0
2017-07-02 10:00:00,1729,1,55.0
2017-07-02 10:15:00,3461,5,266.0
2017-07-02 10:30:00,1732,3,121.0
2017-07-02 10:45:00,5202,3,101.0
2017-07-02 11:00:00,1736,1,27.0
2017-07-02 11:15:00,8695,8,399.0
2017-07-02 11:30:00,5229,9,535.0
2017-07-02 11:45:00,10485,16,781.0
2017-07-02 12:00:00,5256,4,279.0
2017-07-02 12:15:00,7022,6,355.0
2017-07-02 12:30:00,3517,10,548.0
2017-07-02 12:45:00,10575,12,780.0
2017-07-02 13:00:00,10611,3,339.0
2017-07-02 13:15:00,10647,15,544.0
2017-07-02 13:30:00,7118,11,499.0
2017-07-02 13:45:00,7134,6,284.0
2017-07-02 14:00:00,17905,18,834.6
2017-07-02 14:15:00,3593,4,294.0
2017-07-02 14:30:00,12607,13,554.0
2017-07-02 14:45:00,10845,13,845.0
2017-07-02 15:00:00,1811,1,30.0
2017-07-02 15:15:00,9070,9,260.0
2017-07-02 15:30:00,10917,12,895.0
2017-07-02 15:45:00,7298,5,297.0
2017-07-02 16:00:00,5484,3,182.0
2017-07-02 16:15:00,10995,7,568.0
2017-07-02 16:30:00,5511,3,446.0
2017-07-02 16:45:00,11049,7,441.0
2017-07-02 17:00:00,9235,8,434.0
2017-07-02 17:15:00,3701,2,84.0
2017-07-02 17:30:00,7414,6,383.0
2017-07-02 17:45:00,5571,3,229.0
2017-07-02 18:00:00,5580,5,191.0
2017-07-02 18:15:00,3725,3,347.0
2017-07-02 18:30:00,3729,4,189.0
2017-07-02 18:45:00,3733,4,376.0
2017-07-02 19:00:00,3737,5,198.0
2017-07-02 19:15:00,0,0,0.0
2017-07-02 19:30:00,0,0,0.0
2017-07-02 19:45:00,0,0,0.0
2017-07-02 20:00:00,0,0,0.0
2017-07-02 20:15:00,0,0,0.0
2017-07-02 20:30:00,0,0,0.0
2017-07-02 20:45:00,0,0,0.0
2017-07-02 21:00:00,0,0,0.0
2017-07-02 21:15:00,0,0,0.0
2017-07-02 21:30:00,0,0,0.0
2017-07-02 21:45:00,0,0,0.0
2017-07-02 22:00:00,0,0,0.0
2017-07-02 22:15:00,0,0,0.0
2017-07-02 22:30:00,0,0,0.0
2017-07-02 22:45:00,0,0,0.0
2017-07-02 23:00:00,0,0,0.0
2017-07-02 23:15:00,0,0,0.0
2017-07-02 23:30:00,0,0,0.0
2017-07-02 23:45:00,0,0,0.0
2017-07-03 00:00:00,0,0,0.0
2017-07-03 00:15:00,0,0,0.0
2017-07-03 00:30:00,0,0,0.0
2017-07-03 00:45:00,0,0,0.0
2017-07-03 01:00:00,0,0,0.0
2017-07-03 01:15:00,0,0,0.0
2017-07-03 01:30:00,0,0,0.0
2017-07-03 01:45:00,0,0,0.0
2017-07-03 02:00:00,0,0,0.0
2017-07-03 02:15:00,0,0,0.0
2017-07-03 02:30:00,0,0,0.0
2017-07-03 02:45:00,0,0,0.0
2017-07-03 03:00:00,0,0,0.0
2017-07-03 03:15:00,0,0,0.0
2017-07-03 03:30:00,0,0,0.0
2017-07-03 03:45:00,0,0,0.0
2017-07-03 04:00:00,0,0,0.0
2017-07-03 04:15:00,0,0,0.0
2017-07-03 04:30:00,0,0,0.0
2017-07-03 04:45:00,0,0,0.0
2017-07-03 05:00:00,0,0,0.0
2017-07-03 05:15:00,0,0,0.0
2017-07-03 05:30:00,0,0,0.0
2017-07-03 05:45:00,0,0,0.0
2017-07-03 06:00:00,0,0,0.0
2017-07-03 06:15:00,0,0,0.0
2017-07-03 06:30:00,0,0,0.0
2017-07-03 06:45:00,0,0,0.0
2017-07-03 07:00:00,0,0,0.0
2017-07-03 07:15:00,0,0,0.0
2017-07-03 07:30:00,0,0,0.0
2017-07-03 07:45:00,0,0,0.0
2017-07-03 08:00:00,0,0,0.0
2017-07-03 08:15:00,0,0,0.0
2017-07-03 08:30:00,0,0,0.0
2017-07-03 08:45:00,0,0,0.0
2017-07-03 09:00:00,0,0,0.0
2017-07-03 09:15:00,0,0,0.0
2017-07-03 09:30:00,0,0,0.0
2017-07-03 09:45:00,0,0,0.0
2017-07-03 10:00:00,0,0,0.0
2017-07-03 10:15:00,0,0,0.0
2017-07-03 10:30:00,0,0,0.0
2017-07-03 10:45:00,0,0,0.0
2017-07-03 11:00:00,1870,2,39.0
2017-07-03 11:15:00,3743,3,186.0
2017-07-03 11:30:00,3747,7,273.0
2017-07-03 11:45:00,5628,8,496.0
2017-07-03 12:00:00,9400,11,654.0
2017-07-03 12:15:00,5652,4,322.0
2017-07-03 12:30:00,5661,7,404.0
2017-07-03 12:45:00,7566,6,303.0
2017-07-03 13:00:00,0,0,0.0
2017-07-03 13:15:00,13279,10,531.0
2017-07-03 13:30:00,9515,5,570.0
2017-07-03 13:45:00,3813,2,84.0
2017-07-03 14:00:00,7638,11,587.0
2017-07-03 14:15:00,0,0,0.0
2017-07-03 14:30:00,5739,8,729.0
2017-07-03 14:45:00,5748,6,361.0
2017-07-03 15:00:00,3837,2,282.0
2017-07-03 15:15:00,1920,1,26.0
2017-07-03 15:30:00,5766,18,748.0
2017-07-03 15:45:00,5775,9,436.0
2017-07-03 16:00:00,3855,2,69.0
2017-07-03 16:15:00,3859,7,374.0
2017-07-03 16:30:00,7730,7,436.0
2017-07-03 16:45:00,15508,14,1263.0
2017-07-03 17:00:00,1943,1,44.0
2017-07-03 17:15:00,3889,0,108.0
2017-07-03 17:30:00,7790,9,538.0
2017-07-03 17:45:00,7806,5,395.0
2017-07-03 18:00:00,5865,3,157.0
2017-07-03 18:15:00,9795,11,592.8
2017-07-03 18:30:00,1962,1,44.0
2017-07-03 18:45:00,7858,3,380.0
2017-07-03 19:00:00,3935,2,77.0
2017-07-03 19:15:00,0,0,0.0
2017-07-03 19:30:00,0,0,0.0
2017-07-03 19:45:00,0,0,0.0
2017-07-03 20:00:00,0,0,0.0
2017-07-03 20:15:00,0,0,0.0
2017-07-03 20:30:00,0,0,0.0
2017-07-03 20:45:00,0,0,0.0
2017-07-03 21:00:00,0,0,0.0
2017-07-03 21:15:00,0,0,0.0
2017-07-03 21:30:00,0,0,0.0
2017-07-03 21:45:00,0,0,0.0
2017-07-03 22:00:00,0,0,0.0
2017-07-03 22:15:00,0,0,0.0
2017-07-03 22:30:00,0,0,0.0
2017-07-03 22:45:00,0,0,0.0
2017-07-03 23:00:00,0,0,0.0
2017-07-03 23:15:00,0,0,0.0
2017-07-03 23:30:00,0,0,0.0
2017-07-03 23:45:00,0,0,0.0
2017-07-04 00:00:00,0,0,0.0
2017-07-04 00:15:00,0,0,0.0
2017-07-04 00:30:00,0,0,0.0
2017-07-04 00:45:00,0,0,0.0
2017-07-04 01:00:00,0,0,0.0
2017-07-04 01:15:00,0,0,0.0
2017-07-04 01:30:00,0,0,0.0
2017-07-04 01:45:00,0,0,0.0
2017-07-04 02:00:00,0,0,0.0
2017-07-04 02:15:00,0,0,0.0
2017-07-04 02:30:00,0,0,0.0
2017-07-04 02:45:00,0,0,0.0
2017-07-04 03:00:00,0,0,0.0
2017-07-04 03:15:00,0,0,0.0
2017-07-04 03:30:00,0,0,0.0
2017-07-04 03:45:00,0,0,0.0
2017-07-04 04:00:00,0,0,0.0
2017-07-04 04:15:00,0,0,0.0
2017-07-04 04:30:00,0,0,0.0
2017-07-04 04:45:00,0,0,0.0
2017-07-04 05:00:00,0,0,0.0
2017-07-04 05:15:00,0,0,0.0
2017-07-04 05:30:00,0,0,0.0
2017-07-04 05:45:00,0,0,0.0
2017-07-04 06:00:00,0,0,0.0
2017-07-04 06:15:00,0,0,0.0
2017-07-04 06:30:00,0,0,0.0
2017-07-04 06:45:00,0,0,0.0
2017-07-04 07:00:00,0,0,0.0
2017-07-04 07:15:00,0,0,0.0
2017-07-04 07:30:00,0,0,0.0
2017-07-04 07:45:00,0,0,0.0
